reference_site	intended_declaration_identity	actually_selected_declaration_identity	visible_candidate_set	failure_class	reach_vs_binding	witness_qualified	error_message
test.claim.dag_collect_fingerprint_witness_test.dag_collect_fingerprint_witness_keystone_holds				other	other	test.claim.dag_collect_fingerprint_witness_test.dag_collect_fingerprint_witness_keystone_holds	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit
test.claim.dag_compile_clean_perturb_receipts.perturb_optional_skew_fixture_red_holds				other	other	test.claim.dag_compile_clean_perturb_receipts.perturb_optional_skew_fixture_red_holds	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit
test.claim.dag_compile_clean_perturb_receipts.perturb_unresolved_import_fixture_red_holds				other	other	test.claim.dag_compile_clean_perturb_receipts.perturb_unresolved_import_fixture_red_holds	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit
test.claim.dag_compile_clean_perturb_receipts.perturb_fixture_green_holds				other	other	test.claim.dag_compile_clean_perturb_receipts.perturb_fixture_green_holds	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit
test.claim.dag_compile_clean_seam_witness.cross_shard_seam_preservation_holds_on_live_tree				other	other	test.claim.dag_compile_clean_seam_witness.cross_shard_seam_preservation_holds_on_live_tree	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit
test.claim.dag_compile_clean_shard_a_witness.compile_clean_shard_a_exemplar_compile_green				other	other	test.claim.dag_compile_clean_shard_a_witness.compile_clean_shard_a_exemplar_compile_green	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit
test.claim.decl_facts_initializer_projection_witness_test.decl_facts_reflection_data_ref_with_coproduct_type_is_not_variant_value				other	other	test.claim.decl_facts_initializer_projection_witness_test.decl_facts_reflection_data_ref_with_coproduct_type_is_not_variant_value	eval budget exceeded: 2727ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.decl_facts_initializer_projection_witness_test.decl_facts_reflection_imported_external_authority_positive_control				other	other	test.claim.decl_facts_initializer_projection_witness_test.decl_facts_reflection_imported_external_authority_positive_control	eval budget exceeded: 2780ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.decl_facts_initializer_projection_witness_test.decl_facts_reflection_two_unrelated_scaffold_arms_do_not_alias				other	other	test.claim.decl_facts_initializer_projection_witness_test.decl_facts_reflection_two_unrelated_scaffold_arms_do_not_alias	eval budget exceeded: 2778ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.decl_facts_initializer_projection_witness_test.decl_facts_reflection_two_unrelated_shared_nullary_arms_do_not_alias				other	other	test.claim.decl_facts_initializer_projection_witness_test.decl_facts_reflection_two_unrelated_shared_nullary_arms_do_not_alias	eval budget exceeded: 2780ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.decl_facts_initializer_projection_witness_test.decl_facts_reflection_disposition_scaffold_constructor_is_std_disposition				other	other	test.claim.decl_facts_initializer_projection_witness_test.decl_facts_reflection_disposition_scaffold_constructor_is_std_disposition	eval budget exceeded: 2784ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.decl_facts_initializer_projection_witness_test.decl_facts_reflection_terminal_vs_scaffold_constructors_distinct				other	other	test.claim.decl_facts_initializer_projection_witness_test.decl_facts_reflection_terminal_vs_scaffold_constructors_distinct	eval budget exceeded: 2775ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.decl_facts_initializer_projection_witness_test.decl_facts_reflection_single_authority_vs_realization_dispatch_distinct				other	other	test.claim.decl_facts_initializer_projection_witness_test.decl_facts_reflection_single_authority_vs_realization_dispatch_distinct	eval budget exceeded: 2734ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.decl_facts_initializer_projection_witness_test.decl_facts_reflection_whole_declaration_vs_named_field_field_grain				other	other	test.claim.decl_facts_initializer_projection_witness_test.decl_facts_reflection_whole_declaration_vs_named_field_field_grain	eval budget exceeded: 2771ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.decl_facts_initializer_projection_witness_test.decl_facts_reflection_scaffold_dissolves_to_resolves_single_authority				other	other	test.claim.decl_facts_initializer_projection_witness_test.decl_facts_reflection_scaffold_dissolves_to_resolves_single_authority	eval budget exceeded: 2829ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.decl_facts_initializer_projection_witness_test.decl_facts_reflection_closure_b_specimen_resolves_to_b_parent				other	other	test.claim.decl_facts_initializer_projection_witness_test.decl_facts_reflection_closure_b_specimen_resolves_to_b_parent	eval budget exceeded: 2879ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.decl_facts_initializer_projection_witness_test.decl_facts_reflection_explicit_import_resolves_to_a_when_b_also_loaded				other	other	test.claim.decl_facts_initializer_projection_witness_test.decl_facts_reflection_explicit_import_resolves_to_a_when_b_also_loaded	eval budget exceeded: 2884ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.decl_facts_initializer_projection_witness_test.decl_facts_reflection_explicit_import_does_not_resolve_to_b				other	other	test.claim.decl_facts_initializer_projection_witness_test.decl_facts_reflection_explicit_import_does_not_resolve_to_b	eval budget exceeded: 2881ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
